,DADRI_GF,DADRI_GF,DADRI_GF,DADRI_GF,DADRI_RF,DADRI_RF,DADRI_RF,DADRI_RF,DADRI_CRF,DADRI_CRF,DADRI_CRF,DADRI_CRF,DADRI_LF,DADRI_LF,DADRI_LF,DADRI_LF,Total,Total,Total,Total,Block_time,Block_time,Revision,Revision,Revision
,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,block_start,block_stop,revnumber,revdate,revtime
0,130.0,0.0,130.0,130.0,240.0,0.0,240.0,126.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,256.28,00:00,00:15,60,2020-08-18,05:37:03
1,130.0,0.0,130.0,130.0,240.0,0.0,240.0,126.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,256.28,00:15,00:30,,,
2,130.0,0.0,130.0,130.0,240.0,0.0,240.0,126.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,256.28,00:30,00:45,,,
3,130.0,0.0,130.0,130.0,240.0,0.0,240.0,126.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,256.28,00:45,01:00,,,
4,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,01:00,01:15,,,
5,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,01:15,01:30,,,
6,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,01:30,01:45,,,
7,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,01:45,02:00,,,
8,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,02:00,02:15,,,
9,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,02:15,02:30,,,
10,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,02:30,02:45,,,
11,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,02:45,03:00,,,
12,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,03:00,03:15,,,
13,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,03:15,03:30,,,
14,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,03:30,03:45,,,
15,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,03:45,04:00,,,
16,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,04:00,04:15,,,
17,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,04:15,04:30,,,
18,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,04:30,04:45,,,
19,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,04:45,05:00,,,
20,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,05:00,05:15,,,
21,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,05:15,05:30,,,
22,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,05:30,05:45,,,
23,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,05:45,06:00,,,
24,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,06:00,06:15,,,
25,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,06:15,06:30,,,
26,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,06:30,06:45,,,
27,130.0,0.0,130.0,130.0,240.0,0.0,240.0,116.28,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,246.28,06:45,07:00,,,
28,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,07:00,07:15,,,
29,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,07:15,07:30,,,
30,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,07:30,07:45,,,
31,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,07:45,08:00,,,
32,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,08:00,08:15,,,
33,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,08:15,08:30,,,
34,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,08:30,08:45,,,
