,Block_time,Block_time,OnBar DC,OnBar DC,OnBar DC,OnBar DC,OnBar DC,Schedule Gen,Schedule Gen,Schedule Gen,Schedule Gen,Schedule Gen,OffBar DC,OffBar DC,OffBar DC,OffBar DC,OffBar DC,Total DC,Total DC,Total DC,Total DC,Total DC
,Start,End,GF,CRF,RF,LF,Total,GF,CRF,RF,LF,Total,GF,CRF,RF,LF,Total,GF,CRF,RF,LF,Total
1,00:00,00:15,135,55,0,0,190,135,14,0,0,149,0,0,145,425,570,135,55,145,425,760
2,00:15,00:30,135,55,0,0,190,135,14,0,0,149,0,0,145,425,570,135,55,145,425,760
3,00:30,00:45,135,55,0,0,190,135,14,0,0,149,0,0,145,425,570,135,55,145,425,760
4,00:45,01:00,135,55,0,0,190,135,14,0,0,149,0,0,145,425,570,135,55,145,425,760
5,01:00,01:15,135,55,0,0,190,135,20,0,0,155,0,0,145,425,570,135,55,145,425,760
6,01:15,01:30,135,55,0,0,190,135,20,0,0,155,0,0,145,425,570,135,55,145,425,760
7,01:30,01:45,135,55,0,0,190,135,20,0,0,155,0,0,145,425,570,135,55,145,425,760
8,01:45,02:00,135,55,0,0,190,135,20,0,0,155,0,0,145,425,570,135,55,145,425,760
9,02:00,02:15,140,50,0,0,190,139,17,0,0,156,0,0,145,425,570,140,50,145,425,760
10,02:15,02:30,140,50,0,0,190,139,17,0,0,156,0,0,145,425,570,140,50,145,425,760
11,02:30,02:45,140,50,0,0,190,137,19,0,0,156,0,0,145,425,570,140,50,145,425,760
12,02:45,03:00,140,50,0,0,190,137,19,0,0,156,0,0,145,425,570,140,50,145,425,760
13,03:00,03:15,140,50,0,0,190,137,19,0,0,156,0,0,145,425,570,140,50,145,425,760
14,03:15,03:30,140,50,0,0,190,137,19,0,0,156,0,0,145,425,570,140,50,145,425,760
15,03:30,03:45,140,50,0,0,190,137,19,0,0,156,0,0,145,425,570,140,50,145,425,760
16,03:45,04:00,140,50,0,0,190,137,19,0,0,156,0,0,145,425,570,140,50,145,425,760
17,04:00,04:15,140,50,0,0,190,139,19,0,0,158,0,0,145,425,570,140,50,145,425,760
18,04:15,04:30,140,50,0,0,190,139,19,0,0,158,0,0,145,425,570,140,50,145,425,760
19,04:30,04:45,140,50,0,0,190,139,19,0,0,158,0,0,145,425,570,140,50,145,425,760
20,04:45,05:00,140,50,0,0,190,112,19,0,0,131,0,0,145,425,570,140,50,145,425,760
21,05:00,05:15,160,30,0,0,190,154,12,0,0,166,0,0,145,425,570,160,30,145,425,760
22,05:15,05:30,160,30,0,0,190,159,12,0,0,171,0,0,145,425,570,160,30,145,425,760
23,05:30,05:45,160,30,0,0,190,159,12,0,0,171,0,0,145,425,570,160,30,145,425,760
24,05:45,06:00,160,30,0,0,190,134,12,0,0,146,0,0,145,425,570,160,30,145,425,760
25,06:00,06:15,145,45,0,0,190,132,18,0,0,150,0,80,145,345,570,145,125,145,345,760
26,06:15,06:30,145,45,0,0,190,144,18,0,0,162,0,80,145,345,570,145,125,145,345,760
27,06:30,06:45,145,45,0,0,190,144,18,0,0,162,0,80,145,345,570,145,125,145,345,760
28,06:45,07:00,145,45,0,0,190,144,18,0,0,162,0,80,145,345,570,145,125,145,345,760
29,07:00,07:15,145,45,0,0,190,128,18,0,0,146,0,80,145,345,570,145,125,145,345,760
30,07:15,07:30,145,45,0,0,190,144,18,0,0,162,0,80,145,345,570,145,125,145,345,760
31,07:30,07:45,145,45,0,0,190,144,18,0,0,162,0,80,145,345,570,145,125,145,345,760
32,07:45,08:00,145,45,0,0,190,144,18,0,0,162,0,80,145,345,570,145,125,145,345,760
33,08:00,08:15,145,45,0,0,190,132,18,0,0,150,0,80,145,345,570,145,125,145,345,760
34,08:15,08:30,145,45,0,0,190,131,18,0,0,149,0,80,145,345,570,145,125,145,345,760
35,08:30,08:45,145,45,0,0,190,144,18,0,0,162,0,80,145,345,570,145,125,145,345,760
36,08:45,09:00,145,45,0,0,190,144,18,0,0,162,0,80,145,345,570,145,125,145,345,760
37,09:00,09:15,145,45,0,0,190,144,18,0,0,162,0,80,145,345,570,145,125,145,345,760
38,09:15,09:30,145,45,0,0,190,144,18,0,0,162,0,80,145,345,570,145,125,145,345,760
39,09:30,09:45,145,45,0,0,190,144,18,0,0,162,0,80,145,345,570,145,125,145,345,760
40,09:45,10:00,145,45,0,0,190,144,18,0,0,162,0,80,145,345,570,145,125,145,345,760
41,10:00,10:15,145,45,0,0,190,144,18,0,0,162,0,80,145,345,570,145,125,145,345,760
42,10:15,10:30,145,45,0,0,190,144,18,0,0,162,0,80,145,345,570,145,125,145,345,760
43,10:30,10:45,145,45,0,0,190,144,20,0,0,164,0,80,145,345,570,145,125,145,345,760
44,10:45,11:00,145,45,0,0,190,144,20,0,0,164,0,80,145,345,570,145,125,145,345,760
45,11:00,11:15,145,45,0,0,190,144,20,0,0,164,0,80,145,345,570,145,125,145,345,760
46,11:15,11:30,145,45,0,0,190,144,20,0,0,164,0,80,145,345,570,145,125,145,345,760
47,11:30,11:45,145,45,0,0,190,144,20,0,0,164,0,80,145,345,570,145,125,145,345,760
48,11:45,12:00,145,45,0,0,190,144,20,0,0,164,0,80,145,345,570,145,125,145,345,760
49,12:00,12:15,145,45,0,0,190,144,20,0,0,164,0,80,145,345,570,145,125,145,345,760
50,12:15,12:30,145,45,0,0,190,144,19,0,0,163,0,80,145,345,570,145,125,145,345,760
51,12:30,12:45,145,45,0,0,190,144,19,0,0,163,0,80,145,345,570,145,125,145,345,760
52,12:45,13:00,145,45,0,0,190,144,19,0,0,163,0,80,145,345,570,145,125,145,345,760
53,13:00,13:15,145,45,0,0,190,144,19,0,0,163,0,80,145,345,570,145,125,145,345,760
54,13:15,13:30,145,45,0,0,190,144,19,0,0,163,0,80,145,345,570,145,125,145,345,760
55,13:30,13:45,145,45,0,0,190,144,17,0,0,161,0,80,145,345,570,145,125,145,345,760
56,13:45,14:00,145,45,0,0,190,144,17,0,0,161,0,80,145,345,570,145,125,145,345,760
57,14:00,14:15,145,45,0,0,190,144,17,0,0,161,0,80,145,345,570,145,125,145,345,760
58,14:15,14:30,145,45,0,0,190,144,17,0,0,161,0,80,145,345,570,145,125,145,345,760
59,14:30,14:45,145,45,0,0,190,144,17,0,0,161,0,80,145,345,570,145,125,145,345,760
60,14:45,15:00,145,45,0,0,190,144,17,0,0,161,0,80,145,345,570,145,125,145,345,760
61,15:00,15:15,145,45,0,0,190,132,17,0,0,149,0,80,145,345,570,145,125,145,345,760
62,15:15,15:30,145,45,0,0,190,144,17,0,0,161,0,80,145,345,570,145,125,145,345,760
63,15:30,15:45,145,45,0,0,190,144,17,0,0,161,0,80,145,345,570,145,125,145,345,760
64,15:45,16:00,145,45,0,0,190,144,17,0,0,161,0,80,145,345,570,145,125,145,345,760
65,16:00,16:15,145,45,0,0,190,144,17,0,0,161,0,80,145,345,570,145,125,145,345,760
66,16:15,16:30,145,45,0,0,190,144,17,0,0,161,0,80,145,345,570,145,125,145,345,760
67,16:30,16:45,155,35,0,0,190,155,15,0,0,170,0,80,145,345,570,155,115,145,345,760
68,16:45,17:00,155,35,0,0,190,155,15,0,0,170,0,80,145,345,570,155,115,145,345,760
69,17:00,17:15,155,35,0,0,190,155,15,0,0,170,0,80,145,345,570,155,115,145,345,760
70,17:15,17:30,155,35,0,0,190,155,14,0,0,169,0,80,145,345,570,155,115,145,345,760
71,17:30,17:45,155,35,0,0,190,155,14,0,0,169,0,80,145,345,570,155,115,145,345,760
72,17:45,18:00,155,35,0,0,190,155,14,0,0,169,0,80,145,345,570,155,115,145,345,760
73,18:00,18:15,155,35,0,0,190,155,15,0,0,170,0,80,145,345,570,155,115,145,345,760
74,18:15,18:30,155,35,0,0,190,155,15,0,0,170,0,80,145,345,570,155,115,145,345,760
